Source,Target,Weight
11940,19458,1.0
11267,20147,1.0
10449,10451,1.0
10407,10408,1.0
3428,11872,1.0
18664,18224,0.987925436347723
13318,18286,0.982217451557517
4527,3913,0.9727492276579142
8983,18419,0.9676969014108181
719,16440,0.9664382711052895
5391,5392,0.9458606354892254
1905,9487,0.9250752329826355
10333,19621,0.9207119643688202
19546,11237,0.9203934073448181
14363,9115,0.9203708171844482
7245,16570,0.9202686175704002
3674,3548,0.9091020151972771
6198,17667,0.9067664444446564
12904,12891,0.897904098033905
17723,6320,0.8955272436141968
6685,1756,0.8936422243714333
21381,439,0.8932278379797935
12962,12964,0.8913335502147675
19763,14908,0.8874837532639503
15692,16650,0.8750767409801483
1182,1181,0.8745875507593155
9097,14679,0.874497264623642
13696,2941,0.869869276881218
19213,14527,0.8692125380039215
16633,3855,0.861929714679718
839,8004,0.8545836806297302
17550,16990,0.8471460193395615
12359,12733,0.8463391065597534
4034,20367,0.8448932766914368
4485,10017,0.8386850953102112
13362,13750,0.8379200249910355
9315,4034,0.8370751440525055
9315,17271,0.8342075645923615
46,10086,0.831752136349678
12359,21236,0.8314210176467896
8018,6094,0.831028625369072
974,18205,0.8308896720409393
10195,7903,0.8290888518095016
12688,623,0.8168036341667175
1236,2257,0.8160615712404251
11198,6650,0.8129103481769562
21355,18798,0.8113509714603424
3978,21224,0.8078230768442154
9349,14370,0.8072763234376907
14363,14307,0.8065303415060043
5633,10135,0.8034557104110718
15467,7874,0.8021888434886932
17937,9633,0.8019603490829468
11866,5261,0.801492303609848
8917,19276,0.8001653254032135
6717,4459,0.8000946342945099
1669,12790,0.7994440197944641
9801,9597,0.7985128164291382
2717,19498,0.7975417524576187
18798,6342,0.7938458174467087
18503,20448,0.7918620258569717
15076,12338,0.7917810678482056
10346,4399,0.7912040054798126
4034,17271,0.7911713868379593
1921,7820,0.7909310460090637
8671,6706,0.7859764695167542
1474,1750,0.7837538123130798
9115,14307,0.782511904835701
5297,3689,0.7797774225473404
19348,12977,0.7781999111175537
2229,20297,0.7773839682340622
19282,14205,0.7772614359855652
13076,7430,0.7764118909835815
19966,9293,0.775335505604744
6698,13265,0.7742111831903458
21224,5977,0.7673245966434479
13307,20440,0.7659721374511719
10697,1055,0.7631402462720871
2969,1065,0.7630730867385864
21355,6342,0.7630651444196701
7939,4034,0.7628248929977417
10799,21224,0.7619829475879669
4856,13516,0.7605312317609787
14093,19129,0.7593676447868347
1173,13087,0.758619874715805
3678,11954,0.7577463984489441
18808,17991,0.7567070573568344
5380,9633,0.7558450698852539
9485,7903,0.7544592171907425
12746,1093,0.7541213035583496
19767,21131,0.7537373900413513
4197,14444,0.75303515791893
13971,5602,0.7529317140579224
16164,21162,0.752785786986351
13988,17989,0.7522144466638565
12474,4805,0.7519299536943436
1182,80,0.7518029510974884
18288,18287,0.751027524471283
13660,4088,0.7508291006088257
7895,21131,0.7494630813598633
17271,20367,0.7493601441383362
10897,10664,0.7486653029918671
1296,2969,0.7474582493305206
4526,16274,0.7469263076782227
21224,4034,0.7441531419754028
10498,21466,0.7432439029216766
275,9597,0.7413106560707092
17677,7332,0.7409623265266418
13807,13808,0.7375691831111908
14649,16164,0.7375085651874542
13039,13025,0.7368236482143402
12851,7486,0.7355382442474365
2969,18954,0.7341320514678955
21236,12733,0.7321633100509644
5021,20698,0.7320276498794556
19785,19787,0.7315291166305542
15100,7122,0.7302887439727783
20289,21224,0.7296083569526672
15862,5651,0.7288894653320312
17617,17539,0.7285482287406921
7048,16998,0.7284057140350342
10799,17967,0.7282414734363556
7939,8658,0.7275909185409546
12675,18218,0.7275522351264954
12210,13210,0.7264427840709686
21355,17760,0.7262322902679443
10195,9485,0.7251318395137787
13111,16164,0.7249840199947357
7111,11197,0.7249599099159241
4148,20902,0.724179208278656
